YearMonth,homeSales
2007-08,878
2007-09,674
2007-10,807
2007-11,509
2007-12,1641
2008-01,701
2008-02,1048
2008-03,886
2008-04,517
2008-05,661
2008-06,594
2008-07,990
2008-08,597
2008-09,946
2008-10,406
2008-11,358
2008-12,557
2009-01,348
2009-02,509
2009-03,782
2009-04,536
2009-05,638
2009-06,686
2009-07,896
2009-08,520
2009-09,734
2009-10,673
2009-11,760
2009-12,740
2010-01,471
2010-02,344
2010-03,527
2010-04,556
2010-05,565
2010-06,551
2010-07,818
2010-08,552
2010-09,622
2010-10,482
2010-11,415
2010-12,494
2011-01,617
2011-02,704
2011-03,516
2011-04,491
2011-05,466
2011-06,558
2011-07,620
2011-08,523
2011-09,522
2011-10,437
2011-11,403
2011-12,659
2012-01,663
2012-02,422
2012-03,812
2012-04,508
2012-05,624
2012-06,701
2012-07,529
2012-08,629
2012-09,655
2012-10,487
2012-11,516
2012-12,560
2013-01,420
2013-02,403
2013-03,642
2013-04,863
2013-05,652
2013-06,655
2013-07,574
2013-08,559
2013-09,493
2013-10,489
2013-11,369
2013-12,460
2014-01,361
2014-02,357
2014-03,455
2014-04,539
2014-05,610
2014-06,530
2014-07,566
2014-08,521
2014-09,455
2014-10,483
2014-11,387
2014-12,572
2015-01,402
2015-02,386
2015-03,869
2015-04,538
2015-05,612
2015-06,655
2015-07,598
2015-08,462
2015-09,506
2015-10,451
2015-11,418
2015-12,512
2016-01,383
2016-02,336
2016-03,452
2016-04,517
2016-05,572
2016-06,577
2016-07,521
2016-08,549
2016-09,560
2016-10,541
2016-11,574
2016-12,584
2017-01,398
2017-02,361
2017-03,542
2017-04,525
2017-05,624
2017-06,659
2017-07,503
2017-08,548
2017-09,457
2017-10,439
2017-11,431
2017-12,375
2018-01,341
2018-02,422
2018-03,578
2018-04,435
2018-05,502
2018-06,530
2018-07,509
2018-08,220
